名称,勘测日期,无障碍不规范点
一号门-三号门,2025-12-7,10 spots
一号门-三号门（对面）,2025-12-7,13 spots
一号门-七号门,2025-12-7,4 spots
学苑大道X南科一路路口-深圳大学总医院拐角,2026-3-22,23 spots
一号门对面-学院大道X塘岭路路口,2025-12-7,18 spots
七号门-六号门,2025-12-7,
六号门-五号门,2026-3-26,3 spots
学苑大道X笃学路-科研环路X幽兰路（东侧）,2026-5-16,3 spots
学苑大道X笃学路-科研环路X幽兰路（西侧）,2026-1-11,13 spots
学苑大道X南科一路-深圳大学惟新门,2026-1-21,9 spots
学苑大道X塘岭路-塘岭路X留仙大道,2026-3-23,14 spots
塘岭路X留仙大道-塘开路X留仙大道,2026-3-23,
一号门对面-塘开路X留仙大道,2026-3-23,
幽兰路X学苑大道-科研环路X幽兰路（西侧）,2026-5-16,16 spots
幽兰路X学康路-学康路X学苑大道（西侧）,2026-5-16,6 spots
五号门-丽康路（深大丽湖校区四方楼北座）（东向西）,2026-5-16,3 spots
五号门-丽康路（深大丽湖校区四方楼北座）（西向东方向）,2026-5-16,1 spots
麦地巷路X学苑大道-留仙大道X麦地巷路-留仙大道X塘开路-塘开路X学苑大道,2026-5-17,31 spots
留仙大道X学苑大道-留仙大道X麦地巷路,2026-5-16,10 spots
